date,year,month,Average prices across India,value
01-01-1996,1996,Jan,Maximum Price,257
01-01-1996,1996,Jan,Minimum price,160
01-01-1996,1996,Jan,Modal price,226
02-01-1996,1996,Feb,Maximum Price,229
02-01-1996,1996,Feb,Minimum price,133
02-01-1996,1996,Feb,Modal price,186
03-01-1996,1996,Mar,Maximum Price,274
03-01-1996,1996,Mar,Minimum price,155
03-01-1996,1996,Mar,Modal price,243
04-01-1996,1996,Apr,Maximum Price,279
04-01-1996,1996,Apr,Minimum price,136
04-01-1996,1996,Apr,Modal price,254
05-01-1996,1996,May,Maximum Price,312
05-01-1996,1996,May,Minimum price,154
05-01-1996,1996,May,Modal price,269
06-01-1996,1996,Jun,Maximum Price,413
06-01-1996,1996,Jun,Minimum price,229
06-01-1996,1996,Jun,Modal price,367
07-01-1996,1996,Jul,Maximum Price,406
07-01-1996,1996,Jul,Minimum price,229
07-01-1996,1996,Jul,Modal price,368
08-01-1996,1996,Aug,Maximum Price,388
08-01-1996,1996,Aug,Minimum price,164
08-01-1996,1996,Aug,Modal price,340
09-01-1996,1996,Sep,Maximum Price,363
09-01-1996,1996,Sep,Minimum price,145
09-01-1996,1996,Sep,Modal price,317
10-01-1996,1996,Oct,Maximum Price,560
10-01-1996,1996,Oct,Minimum price,160
10-01-1996,1996,Oct,Modal price,492
11-01-1996,1996,Nov,Maximum Price,498
11-01-1996,1996,Nov,Minimum price,138
11-01-1996,1996,Nov,Modal price,376
12-01-1996,1996,Dec,Maximum Price,451
12-01-1996,1996,Dec,Minimum price,138
12-01-1996,1996,Dec,Modal price,385
01-01-1997,1997,Jan,Maximum Price,323
01-01-1997,1997,Jan,Minimum price,126
01-01-1997,1997,Jan,Modal price,290
02-01-1997,1997,Feb,Maximum Price,305
02-01-1997,1997,Feb,Minimum price,134
02-01-1997,1997,Feb,Modal price,271
03-01-1997,1997,Mar,Maximum Price,310
03-01-1997,1997,Mar,Minimum price,138
03-01-1997,1997,Mar,Modal price,273
04-01-1997,1997,Apr,Maximum Price,240
04-01-1997,1997,Apr,Minimum price,149
04-01-1997,1997,Apr,Modal price,214
05-01-1997,1997,May,Maximum Price,238
05-01-1997,1997,May,Minimum price,123
05-01-1997,1997,May,Modal price,213
06-01-1997,1997,Jun,Maximum Price,237
06-01-1997,1997,Jun,Minimum price,64
06-01-1997,1997,Jun,Modal price,195
07-01-1997,1997,Jul,Maximum Price,193
07-01-1997,1997,Jul,Minimum price,58
07-01-1997,1997,Jul,Modal price,148.2
08-01-1997,1997,Aug,Maximum Price,235.4
08-01-1997,1997,Aug,Minimum price,71.6
08-01-1997,1997,Aug,Modal price,195
09-01-1997,1997,Sep,Maximum Price,289.2
09-01-1997,1997,Sep,Minimum price,78.4
09-01-1997,1997,Sep,Modal price,240.6
10-01-1997,1997,Oct,Maximum Price,388.4
10-01-1997,1997,Oct,Minimum price,115.8
10-01-1997,1997,Oct,Modal price,322
11-01-1997,1997,Nov,Maximum Price,741.6
11-01-1997,1997,Nov,Minimum price,211.4
11-01-1997,1997,Nov,Modal price,617.4
12-01-1997,1997,Dec,Maximum Price,990.25
12-01-1997,1997,Dec,Minimum price,192
12-01-1997,1997,Dec,Modal price,688.75
01-01-1998,1998,Jan,Maximum Price,1528.714286
01-01-1998,1998,Jan,Minimum price,433.8571429
01-01-1998,1998,Jan,Modal price,1049.571429
02-01-1998,1998,Feb,Maximum Price,1062.25
02-01-1998,1998,Feb,Minimum price,333.5
02-01-1998,1998,Feb,Modal price,822
03-01-1998,1998,Mar,Maximum Price,466.7777778
03-01-1998,1998,Mar,Minimum price,226.1111111
03-01-1998,1998,Mar,Modal price,399.3333333
04-01-1998,1998,Apr,Maximum Price,292.3
04-01-1998,1998,Apr,Minimum price,146.7
04-01-1998,1998,Apr,Modal price,243.3
05-01-1998,1998,May,Maximum Price,354.4
05-01-1998,1998,May,Minimum price,176.8
05-01-1998,1998,May,Modal price,297
06-01-1998,1998,Jun,Maximum Price,653.2222222
06-01-1998,1998,Jun,Minimum price,300.3333333
06-01-1998,1998,Jun,Modal price,566.5555556
07-01-1998,1998,Jul,Maximum Price,897
07-01-1998,1998,Jul,Minimum price,509.2222222
07-01-1998,1998,Jul,Modal price,829.1111111
08-01-1998,1998,Aug,Maximum Price,1439.666667
08-01-1998,1998,Aug,Minimum price,696.1111111
08-01-1998,1998,Aug,Modal price,1287.555556
09-01-1998,1998,Sep,Maximum Price,1876.666667
09-01-1998,1998,Sep,Minimum price,1014.555556
09-01-1998,1998,Sep,Modal price,1723.666667
10-01-1998,1998,Oct,Maximum Price,2703.8
10-01-1998,1998,Oct,Minimum price,1148.1
10-01-1998,1998,Oct,Modal price,2116.9
11-01-1998,1998,Nov,Maximum Price,1833.125
11-01-1998,1998,Nov,Minimum price,768.125
11-01-1998,1998,Nov,Modal price,1436.625
12-01-1998,1998,Dec,Maximum Price,1221.625
12-01-1998,1998,Dec,Minimum price,651.875
12-01-1998,1998,Dec,Modal price,1044.25
01-01-1999,1999,Jan,Maximum Price,579
01-01-1999,1999,Jan,Minimum price,332
01-01-1999,1999,Jan,Modal price,491.7777778
02-01-1999,1999,Feb,Maximum Price,330.4545455
02-01-1999,1999,Feb,Minimum price,198.5454545
02-01-1999,1999,Feb,Modal price,283.0909091
03-01-1999,1999,Mar,Maximum Price,290.0909091
03-01-1999,1999,Mar,Minimum price,166.3636364
03-01-1999,1999,Mar,Modal price,246.7272727
04-01-1999,1999,Apr,Maximum Price,412.6363636
04-01-1999,1999,Apr,Minimum price,185.5454545
04-01-1999,1999,Apr,Modal price,341.2727273
05-01-1999,1999,May,Maximum Price,545.3636364
05-01-1999,1999,May,Minimum price,225.4545455
05-01-1999,1999,May,Modal price,451.4545455
06-01-1999,1999,Jun,Maximum Price,497.9
06-01-1999,1999,Jun,Minimum price,228.8
06-01-1999,1999,Jun,Modal price,417.5
07-01-1999,1999,Jul,Maximum Price,487
07-01-1999,1999,Jul,Minimum price,228.1
07-01-1999,1999,Jul,Modal price,425.1
08-01-1999,1999,Aug,Maximum Price,443.6
08-01-1999,1999,Aug,Minimum price,251.3
08-01-1999,1999,Aug,Modal price,397
09-01-1999,1999,Sep,Maximum Price,669.9
09-01-1999,1999,Sep,Minimum price,363.3
09-01-1999,1999,Sep,Modal price,606.6
10-01-1999,1999,Oct,Maximum Price,633.1
10-01-1999,1999,Oct,Minimum price,299.6
10-01-1999,1999,Oct,Modal price,556.2
11-01-1999,1999,Nov,Maximum Price,528.8
11-01-1999,1999,Nov,Minimum price,224.5
11-01-1999,1999,Nov,Modal price,434.9
12-01-1999,1999,Dec,Maximum Price,351.5454545
12-01-1999,1999,Dec,Minimum price,181.2727273
12-01-1999,1999,Dec,Modal price,296.6363636
01-01-2000,2000,Jan,Maximum Price,276.8181818
01-01-2000,2000,Jan,Minimum price,150.4545455
01-01-2000,2000,Jan,Modal price,226.7272727
02-01-2000,2000,Feb,Maximum Price,269.0909091
02-01-2000,2000,Feb,Minimum price,148
02-01-2000,2000,Feb,Modal price,215.6363636
03-01-2000,2000,Mar,Maximum Price,243
03-01-2000,2000,Mar,Minimum price,147.3636364
03-01-2000,2000,Mar,Modal price,208.3636364
04-01-2000,2000,Apr,Maximum Price,253
04-01-2000,2000,Apr,Minimum price,98.27272727
04-01-2000,2000,Apr,Modal price,202.6363636
05-01-2000,2000,May,Maximum Price,261.6
05-01-2000,2000,May,Minimum price,93.5
05-01-2000,2000,May,Modal price,198.9
06-01-2000,2000,Jun,Maximum Price,260.9
06-01-2000,2000,Jun,Minimum price,85.9
06-01-2000,2000,Jun,Modal price,187.8
07-01-2000,2000,Jul,Maximum Price,267.9
07-01-2000,2000,Jul,Minimum price,99.1
07-01-2000,2000,Jul,Modal price,203.3
08-01-2000,2000,Aug,Maximum Price,311.6
08-01-2000,2000,Aug,Minimum price,123.6
08-01-2000,2000,Aug,Modal price,254.6
09-01-2000,2000,Sep,Maximum Price,352.7
09-01-2000,2000,Sep,Minimum price,144
09-01-2000,2000,Sep,Modal price,297.1
10-01-2000,2000,Oct,Maximum Price,494.8
10-01-2000,2000,Oct,Minimum price,214.1
10-01-2000,2000,Oct,Modal price,415.7
11-01-2000,2000,Nov,Maximum Price,679.1
11-01-2000,2000,Nov,Minimum price,285.2
11-01-2000,2000,Nov,Modal price,559.6
12-01-2000,2000,Dec,Maximum Price,587.3
12-01-2000,2000,Dec,Minimum price,297.8
12-01-2000,2000,Dec,Modal price,498.3
01-01-2001,2001,Jan,Maximum Price,543.3
01-01-2001,2001,Jan,Minimum price,276.5
01-01-2001,2001,Jan,Modal price,478.1
02-01-2001,2001,Feb,Maximum Price,378.9
02-01-2001,2001,Feb,Minimum price,227.6
02-01-2001,2001,Feb,Modal price,333.5
03-01-2001,2001,Mar,Maximum Price,341.8
03-01-2001,2001,Mar,Minimum price,192.5
03-01-2001,2001,Mar,Modal price,303.5
04-01-2001,2001,Apr,Maximum Price,288.5
04-01-2001,2001,Apr,Minimum price,146.4
04-01-2001,2001,Apr,Modal price,247.6
05-01-2001,2001,May,Maximum Price,264.3
05-01-2001,2001,May,Minimum price,108.3
05-01-2001,2001,May,Modal price,216.7
06-01-2001,2001,Jun,Maximum Price,333.5
06-01-2001,2001,Jun,Minimum price,157.7
06-01-2001,2001,Jun,Modal price,284.9
07-01-2001,2001,Jul,Maximum Price,384.7
07-01-2001,2001,Jul,Minimum price,215.1
07-01-2001,2001,Jul,Modal price,333.7
08-01-2001,2001,Aug,Maximum Price,578.8
08-01-2001,2001,Aug,Minimum price,301
08-01-2001,2001,Aug,Modal price,498.3
09-01-2001,2001,Sep,Maximum Price,554.6363636
09-01-2001,2001,Sep,Minimum price,248.4545455
09-01-2001,2001,Sep,Modal price,465.3636364
10-01-2001,2001,Oct,Maximum Price,607.6363636
10-01-2001,2001,Oct,Minimum price,233.6363636
10-01-2001,2001,Oct,Modal price,511.2727273
11-01-2001,2001,Nov,Maximum Price,860.9090909
11-01-2001,2001,Nov,Minimum price,318.4545455
11-01-2001,2001,Nov,Modal price,699.3636364
12-01-2001,2001,Dec,Maximum Price,489.3076923
12-01-2001,2001,Dec,Minimum price,226.4615385
12-01-2001,2001,Dec,Modal price,403.3076923
01-01-2002,2002,Jan,Maximum Price,389.5217391
01-01-2002,2002,Jan,Minimum price,125.2173913
01-01-2002,2002,Jan,Modal price,281.3913043
02-01-2002,2002,Feb,Maximum Price,318.0952381
02-01-2002,2002,Feb,Minimum price,118.5714286
02-01-2002,2002,Feb,Modal price,237.1428571
03-01-2002,2002,Mar,Maximum Price,266.9
03-01-2002,2002,Mar,Minimum price,114.15
03-01-2002,2002,Mar,Modal price,208.4
04-01-2002,2002,Apr,Maximum Price,263.1363636
04-01-2002,2002,Apr,Minimum price,107.2272727
04-01-2002,2002,Apr,Modal price,205.1818182
05-01-2002,2002,May,Maximum Price,272.3333333
05-01-2002,2002,May,Minimum price,103.1428571
05-01-2002,2002,May,Modal price,208.2857143
06-01-2002,2002,Jun,Maximum Price,371.7727273
06-01-2002,2002,Jun,Minimum price,150.1818182
06-01-2002,2002,Jun,Modal price,299.1363636
07-01-2002,2002,Jul,Maximum Price,441.1363636
07-01-2002,2002,Jul,Minimum price,173.1818182
07-01-2002,2002,Jul,Modal price,356.0454545
08-01-2002,2002,Aug,Maximum Price,573.8636364
08-01-2002,2002,Aug,Minimum price,224.2272727
08-01-2002,2002,Aug,Modal price,450
09-01-2002,2002,Sep,Maximum Price,603.6363636
09-01-2002,2002,Sep,Minimum price,236.0454545
09-01-2002,2002,Sep,Modal price,463.5454545
10-01-2002,2002,Oct,Maximum Price,725.8181818
10-01-2002,2002,Oct,Minimum price,284.7272727
10-01-2002,2002,Oct,Modal price,558.4090909
11-01-2002,2002,Nov,Maximum Price,599.4
11-01-2002,2002,Nov,Minimum price,240.6
11-01-2002,2002,Nov,Modal price,463.7
12-01-2002,2002,Dec,Maximum Price,434.7894737
12-01-2002,2002,Dec,Minimum price,179.2105263
12-01-2002,2002,Dec,Modal price,314.7894737
01-01-2003,2003,Jan,Maximum Price,342.1818182
01-01-2003,2003,Jan,Minimum price,133.4545455
01-01-2003,2003,Jan,Modal price,231.6818182
02-01-2003,2003,Feb,Maximum Price,298.4347826
02-01-2003,2003,Feb,Minimum price,108.7391304
02-01-2003,2003,Feb,Modal price,192.6956522
03-01-2003,2003,Mar,Maximum Price,322.4090909
03-01-2003,2003,Mar,Minimum price,145.6818182
03-01-2003,2003,Mar,Modal price,245
04-01-2003,2003,Apr,Maximum Price,402.8695652
04-01-2003,2003,Apr,Minimum price,197.3478261
04-01-2003,2003,Apr,Modal price,323.5652174
05-01-2003,2003,May,Maximum Price,436.5
05-01-2003,2003,May,Minimum price,201.0833333
05-01-2003,2003,May,Modal price,344.8333333
06-01-2003,2003,Jun,Maximum Price,544.88
06-01-2003,2003,Jun,Minimum price,252.24
06-01-2003,2003,Jun,Modal price,431.44
07-01-2003,2003,Jul,Maximum Price,574.0416667
07-01-2003,2003,Jul,Minimum price,283.5
07-01-2003,2003,Jul,Modal price,461.4583333
08-01-2003,2003,Aug,Maximum Price,628.44
08-01-2003,2003,Aug,Minimum price,286.84
08-01-2003,2003,Aug,Modal price,478.4
09-01-2003,2003,Sep,Maximum Price,670.5
09-01-2003,2003,Sep,Minimum price,287.0769231
09-01-2003,2003,Sep,Modal price,517.6923077
10-01-2003,2003,Oct,Maximum Price,889.9583333
10-01-2003,2003,Oct,Minimum price,380.2916667
10-01-2003,2003,Oct,Modal price,695.7916667
11-01-2003,2003,Nov,Maximum Price,724.56
11-01-2003,2003,Nov,Minimum price,287.6
11-01-2003,2003,Nov,Modal price,544.84
12-01-2003,2003,Dec,Maximum Price,782.2222222
12-01-2003,2003,Dec,Minimum price,325.2592593
12-01-2003,2003,Dec,Modal price,615.8148148
01-01-2004,2004,Jan,Maximum Price,922.8444444
01-01-2004,2004,Jan,Minimum price,533.5555556
01-01-2004,2004,Jan,Modal price,775.2
02-01-2004,2004,Feb,Maximum Price,829.0714286
02-01-2004,2004,Feb,Minimum price,516.9285714
02-01-2004,2004,Feb,Modal price,718.5238095
03-01-2004,2004,Mar,Maximum Price,541.0697674
03-01-2004,2004,Mar,Minimum price,330.372093
03-01-2004,2004,Mar,Modal price,460
04-01-2004,2004,Apr,Maximum Price,416.0454545
04-01-2004,2004,Apr,Minimum price,248.0227273
04-01-2004,2004,Apr,Modal price,351.3181818
05-01-2004,2004,May,Maximum Price,410.75
05-01-2004,2004,May,Minimum price,228.3636364
05-01-2004,2004,May,Modal price,337.3636364
06-01-2004,2004,Jun,Maximum Price,462.047619
06-01-2004,2004,Jun,Minimum price,232.4047619
06-01-2004,2004,Jun,Modal price,372.3333333
07-01-2004,2004,Jul,Maximum Price,465
07-01-2004,2004,Jul,Minimum price,253.3488372
07-01-2004,2004,Jul,Modal price,384.744186
08-01-2004,2004,Aug,Maximum Price,516.4545455
08-01-2004,2004,Aug,Minimum price,285.7045455
08-01-2004,2004,Aug,Modal price,427.5227273
09-01-2004,2004,Sep,Maximum Price,522.8181818
09-01-2004,2004,Sep,Minimum price,275.8181818
09-01-2004,2004,Sep,Modal price,424.2045455
10-01-2004,2004,Oct,Maximum Price,619.0444444
10-01-2004,2004,Oct,Minimum price,305.7333333
10-01-2004,2004,Oct,Modal price,493.6222222
11-01-2004,2004,Nov,Maximum Price,564.7777778
11-01-2004,2004,Nov,Minimum price,263.4
11-01-2004,2004,Nov,Modal price,441.2444444
12-01-2004,2004,Dec,Maximum Price,501.3409091
12-01-2004,2004,Dec,Minimum price,237.1818182
12-01-2004,2004,Dec,Modal price,394.7045455
01-01-2005,2005,Jan,Maximum Price,495.3809524
01-01-2005,2005,Jan,Minimum price,263.1904762
01-01-2005,2005,Jan,Modal price,386.5555556
02-01-2005,2005,Feb,Maximum Price,424.8153846
02-01-2005,2005,Feb,Minimum price,236.4
02-01-2005,2005,Feb,Modal price,344.7076923
03-01-2005,2005,Mar,Maximum Price,378.2909091
03-01-2005,2005,Mar,Minimum price,201.3818182
03-01-2005,2005,Mar,Modal price,300.9272727
04-01-2005,2005,Apr,Maximum Price,387.9807692
04-01-2005,2005,Apr,Minimum price,192.5769231
04-01-2005,2005,Apr,Modal price,311.5769231
05-01-2005,2005,May,Maximum Price,385.0163934
05-01-2005,2005,May,Minimum price,221.3442623
05-01-2005,2005,May,Modal price,313.2622951
06-01-2005,2005,Jun,Maximum Price,425.6440678
06-01-2005,2005,Jun,Minimum price,214.0169492
06-01-2005,2005,Jun,Modal price,334.3389831
07-01-2005,2005,Jul,Maximum Price,491.6440678
07-01-2005,2005,Jul,Minimum price,247.7118644
07-01-2005,2005,Jul,Modal price,388.9661017
08-01-2005,2005,Aug,Maximum Price,714.4262295
08-01-2005,2005,Aug,Minimum price,355.852459
08-01-2005,2005,Aug,Modal price,571.6229508
09-01-2005,2005,Sep,Maximum Price,1063.285714
09-01-2005,2005,Sep,Minimum price,536.6825397
09-01-2005,2005,Sep,Modal price,861.6190476
10-01-2005,2005,Oct,Maximum Price,1326.5
10-01-2005,2005,Oct,Minimum price,684.8333333
10-01-2005,2005,Oct,Modal price,1060.166667
11-01-2005,2005,Nov,Maximum Price,1313.224138
11-01-2005,2005,Nov,Minimum price,698.6551724
11-01-2005,2005,Nov,Modal price,1049.206897
12-01-2005,2005,Dec,Maximum Price,813.2666667
12-01-2005,2005,Dec,Minimum price,471.6333333
12-01-2005,2005,Dec,Modal price,667.45
01-01-2006,2006,Jan,Maximum Price,537.3529412
01-01-2006,2006,Jan,Minimum price,306.3382353
01-01-2006,2006,Jan,Modal price,433.0441176
02-01-2006,2006,Feb,Maximum Price,399.9545455
02-01-2006,2006,Feb,Minimum price,230.9242424
02-01-2006,2006,Feb,Modal price,321.4848485
03-01-2006,2006,Mar,Maximum Price,354.3484848
03-01-2006,2006,Mar,Minimum price,215.9545455
03-01-2006,2006,Mar,Modal price,293.7878788
04-01-2006,2006,Apr,Maximum Price,360.8852459
04-01-2006,2006,Apr,Minimum price,213.9344262
04-01-2006,2006,Apr,Modal price,297.9836066
05-01-2006,2006,May,Maximum Price,316.0153846
05-01-2006,2006,May,Minimum price,175.7846154
05-01-2006,2006,May,Modal price,254.6
